name,description,funding_total,founded_year,location,category,subcategory,themes
OpenAI,AI research and deployment company creating safe AGI. Developed GPT models and ChatGPT.,11300000000,2015,"San Francisco, CA",AI Infrastructure,AI Research and Development,"artificial intelligence, machine learning, natural language processing, research and development"
Stripe,Payment processing platform for internet businesses. Provides APIs for online payments.,2200000000,2010,"San Francisco, CA",Fintech,Payments,"payments, financial services, online payments, e-commerce"
Databricks,Unified analytics platform built on Apache Spark for data engineering and machine learning.,3500000000,2013,"San Francisco, CA",Data Infrastructure,Data Engineering,"data analytics, data engineering, machine learning, apache spark"
Notion,"All-in-one workspace for notes, tasks, wikis, and databases. Productivity tool for teams.",343000000,2016,"San Francisco, CA",Productivity,Collaboration and Workflow,"productivity, collaboration, workflow management, notes and tasks"
Figma,Collaborative interface design tool built in the browser. Vector graphics editor and prototyping.,332900000,2012,"San Francisco, CA",Design Tools,Design and Prototyping,"design, interface design, vector graphics, prototyping"
Hugging Face,"Platform for building, training and deploying ML models. Focus on NLP and transformers.",395000000,2016,"New York, NY",AI Infrastructure,AI Platform and Tools,"machine learning, natural language processing, transformers, model deployment"
Scale AI,Data labeling and annotation platform for machine learning training data.,602000000,2016,"San Francisco, CA",AI Infrastructure,Data Labeling and Annotation,"machine learning, data labeling, data annotation, training data"
Vercel,Platform for frontend developers providing hosting and serverless functions. Creators of Next.js.,313000000,2015,"San Francisco, CA",Developer Tools,Web Development Platform,"web development, serverless, hosting, next.js"
Anthropic,"AI safety and research company building reliable, interpretable, and steerable AI systems.",7300000000,2021,"San Francisco, CA",AI Infrastructure,AI Safety and Reliability,"artificial intelligence, AI safety, AI research, interpretable AI"
Tempus,Healthcare technology company using AI for precision medicine and cancer research.,1300000000,2015,"Chicago, IL",Digital Health,Precision Medicine,"healthcare, cancer research, precision medicine, AI for healthcare"
Oscar Health,Technology-focused health insurance company providing user-friendly healthcare coverage.,1600000000,2012,"New York, NY",Digital Health,Health Insurance,"healthcare, health insurance, user-friendly healthcare, technology-enabled healthcare"
Devoted Health,Medicare Advantage insurance company using technology to improve senior healthcare.,1900000000,2017,"Waltham, MA",Digital Health,Medicare Advantage,"healthcare, Medicare Advantage, senior healthcare, technology-enabled healthcare"
Rippling,"Unified HR, IT, and Finance platform managing payroll, benefits, and employee systems.",1200000000,2016,"San Francisco, CA",Enterprise Software,HR and Operations,"HR management, IT management, finance management, employee systems"
Linear,Issue tracking tool for software development teams. Focus on speed and user experience.,52000000,2019,"San Francisco, CA",Developer Tools,Issue Tracking,"software development, issue tracking, user experience, speed and efficiency"
Replit,Collaborative browser-based IDE for building and deploying applications online.,197000000,2016,"San Francisco, CA",Developer Tools,Online IDE,"web development, IDE, collaboration, online deployment"
Instacart,Grocery delivery and pickup service connecting customers with personal shoppers.,2700000000,2012,"San Francisco, CA",E-commerce,Grocery Delivery,"e-commerce, grocery delivery, personal shopping, on-demand services"
Chime,Mobile-first neobank providing fee-free banking services and early direct deposit.,2300000000,2013,"San Francisco, CA",Fintech,Neobanking,"banking, fintech, mobile banking, fee-free banking"
Plaid,Financial services API enabling applications to connect with users' bank accounts.,734000000,2013,"San Francisco, CA",Fintech,Financial APIs,"fintech, financial services, APIs, banking integrations"
Anduril,Defense technology company building autonomous systems and infrastructure for national security.,2700000000,2017,"Costa Mesa, CA",Defense Tech,Autonomous Systems,"national security, autonomous systems, defense technology, infrastructure"
Faire,Online wholesale marketplace connecting retailers with independent brands and makers.,1100000000,2017,"San Francisco, CA",E-commerce,Wholesale Marketplace,"e-commerce, wholesale, independent brands, retail marketplace"
